번호,문항,답안,해설
1,"발주자로부터 선급금을 받은 경우, 선급금을 받은 날로부터 30일 이내에 선급금의 내용-비율에 따라 관련 협력사(중소기업)에게 선급금을 지급하여야 한다.",X,발주자로부터 선급금을 받은 때는 받은 선급금의 내용과 비율에 따라 선급금을 받은 날로부터 15일 이내에 관련 수급사업자에게 선급금을 지급하여야 한다.
2,하도급 대금은 목적물 수령일로부터 60일 이내의 가능한 짧은 기한으로 정한 지급기일까지 지급하여야 한다,O,하도급 대금은 목적물 수령일로부터 60일 이내의 가능한 짧은 기한으로 정한 지급기일까지 지급하여야 한다
3,하도급대금 지급기일을 목적물 등의 수령일로부터 90일로 계약서를 쓴 경우에는 계약서 내용이 지급기일이 된다.,X,3. 목적물등의 수령일부터 60일이 지난 후에 하도급대금의 지급기일을 정한 경우에는 목적물등의 수령일부터 60일이 되는 날을 하도급대금의 지급기일로 본다.
4,목적물등의 수령일부터 60일이 지난 후에 하도급대금의 지급기일을 정한 경우에는 목적물등의 수령일부터 60일이 되는 날을 하도급대금의 지급기일로 본다.,O,목적물등의 수령일부터 60일이 지난 후에 하도급대금의 지급기일을 정한 경우에는 목적물등의 수령일부터 60일이 되는 날을 하도급대금의 지급기일로 본다.
5,하도급 대금 지급일의 기준이 되는 목적물 수령일은 건설 위탁의 경우 준공(또는 기성 부분)의 동지를 받고 검사를 완료한 날을 의미한다.,O,하도급 대금 지급시 기산점이 되는 목적물 수령일은 건설 위탁의 경우 준공(또는 기성 부분)의 동지를 받고 검사를 완료한 날을 의미한다.
6,협력사(중소기업)에 대한 하도급 대금 지급이 지연되었을 경우 지급하여야 할 지연이자의 이자율은 월 15.5%이다.,X,수급사업자에 대한 하도급 대금 지급이 지연되었을 경우 지급하여야 할 지연이자의 이자율은 연 15.5%이다.
7,당사는 협력사(중소기업)로부터 목적물을 수령한 날로부터 10일 이내에 검사결과를 서면 통지하여야 한다.,O,원사업자는 수급사업자로부터 목적물을 수령한 날로부터 10일 이내에 검사결과를 서면 통지하여야 한다.
8,당사가 목적물을 수령한 날로부터 10일 이내에 협력사(중소기업)에게 검사결과를 통지하지 않을 경우 하도급법상 검사에 합격한 것으로 간주된다.,X,목적물을 수령한 날로부터 10일 이내에 수급사업자에게 검사결과를 통지하지 않을 경우 하도급법상 검사에 합격한 것으로 간주된다.
9,당사와 협력사(중소기업)와의 관계에서 경영상의 사유로 매년 일률적인 비율로 단가를 인하해도 된다.,O,정당한 사유 없이 일률적인 비율로 단가를 인하하여 하도급대금을 결정하는 행위는 부당한 하도급대금 결정으로 금지된다.
10,합리적인 산출 근거없이 종전 계약단가를 기준으로 협력사(중소기업)의 납품단가 규모별로 일정률씩 인하하여 획일적으로 적용하는 행위는 부당하도급대금결정이다.,O,객관적이고 합리적인 산출근거없이 종전 계약단가를 기준으로 수급사업자의 납품단가 규모별로 일정률씩 인하하기로 정하여 획일적으로 적용하는 행위는 부당하도급대금결정이다.
11,최저가로 입찰한 협력사(중소기업)에게 다시 대금인하 협상을 하여 입찰금액보다 낮은 가격으로 하도급대금을 정하는 행위는 부당하도급대금결정이다.,X,원사업자가 최저가 경쟁입찰에서 최저가로 입찰한 수급사업자에게 업계관행을 이유로 다시 대금인하 협상을 하여 최저가 입찰금액보다 낮은 가격으로 하도급대금을 정하는 행위는 부당하도급대금결정이다.
12,"정당한 사유가 있어 하도급대금을 감액하는 경우, 협력사(중소기업)와 구두합의를 하여 감액처리하는 것도 가능하다.",O,정당한 사유가 있어 감액을 하는 경우에도 법정기재사항을 기재한 서면을 수급사업자에게 미리 주어야 한다
13,하도급대금 감액시 협력사(중소기업에게 제공하는 서면에는 '감액의 대상이 되는 목적물등의 물량을 기재하여야 한다.,X,하도급대금 감액시 수급사업자에게 제공하는 서면에는 '감액의 대상이 되는 목적물 등의 물량을 기재하여야 한다.
14,"구두로 납기 등을 연기했다면, 당초 서면계약서상의 납기를 준수 하지 아니한 것으로 처리하여 감액해도 무방하다.",X,구두로 납기 등을 연기한 후 당초 서면계약서상의 납기를 준수 하지 아니한 것으로 처리하여 감액하는 행위는 부당감액이다.
15,"당사가 목적물을 저가로 수주하였다면, 협력사(중소기업)와의 당초 계약 보다 하도급대금을 감액할 수 있다.",X,목적물을 저가로 수주하였다는 등의 이유로 당초 계약과 다르게 하도급대금을 감액하는 행위는 부당감액이다.
16,"운송조건, 납품기한 등의 거래조건을 당초 계약내용과 달리 추가비용이 발생하는 내용으로 변경하고 그에 따른 추가비용을 보전해주지 아니하는 행위는 부당감액이다.",O,"단가 및 물량에는 변동이 없으나 운송조건, 납품기한 등의 거래조건을 당초 계약내용과 달리 추가비용이 발생하는 내용으로 변경하고 그에 따른 추가비용을 보전해주지 아니하는 행위는 부당감액이다."
17,"협력사(중소기업)에게 무상으로 장비를 사용할 수 있도록 했다면, 사전협의 없이 하도급 대금에서 장비사용료를 공제하여도 무방하다.",X,수급사업자에게 무상으로 장비를 사용할 수 있도록 한 후 사전협의 없이 하도급대금에서 장비사용료를 공제하는 행위는 부당감액이다.
18,"설계변경 등으로 추가금액을 지급해야 함에도 불구하고, 차기 공사계약체결을 조건으로 협력사(중소기업)로 하여금 추가금액을 포기하도록 하는 행위는 부당감액이다.",O,"해당 공사의 설계변경 또는 물가변동 등에 따른 추가금액을 지급하여야 함에도 불구하고, 수급사업자가 낙찰 받은 차기 공사의 계약체결을 조건으로 수급사업자로 하여금 추가금액의 수령을 포기하도록 하는 행위는 부당감액이다."
19,"당사가 자재 및 장비 등을 공급하기로 하였으나 지연 공급하여, 협력사(중소기업)가 기간 내에 납품 또는 준공하지 못했을 때 감액하는 행위는 부당감액이다.",O,"「원사업자가 자재 및 장비 등을 공급하기로 한 경우 이를 지연하여 공급하거나 일방적으로 무리한 납기,공기를 정해 놓고 이 기간 내에 납품 또는 준공하지 못함을 이유로 감액하는 행위는 부당감액이다."
20,"당사가 협력사(중소기업)와 단가인하에 관한 합의하였다면, 합의일 이전에 위탁한 목적물 등에 대하여도 인하된 단가를 적용할 수 있다.",X,"원사업자가 수급사업자와 단가인하에 관한 합의가 성립한 경우, 합의일 이전에 위탁한 목적물 등에 대하여 인하된 단가를 적용하여 하도급대금을 지급하는 행위는 부당감액이다."
