번호,문항,답안,해설
1,사업자가 다른 경쟁사업자와 공동으로 부당하게 경쟁을 제한하는 '가격 변경 합의를 하는 것은 공정거래법 위반인 부당한 공동행위이다.,O,"사업자가 다른 사업자와 공동으로 부당하게 경쟁을 제한하는 가격을 결정, 유지 또는 변경하는 행위를 할 것을 합의하는 것은 부당한 공동행위이다(공정거래법 제40조 장고)"
2,음료수 제조업체들이 음료수 가격을 함께 인상하기로 합의는 했으나 실제 실행하지 못한 경우에는 공정거래법 위반인 부당한 공동행위가 되지 않는다.,X,합의의 실행이 없다고 하더라도 합의만으로도 부당공동행위가 될 수 있다.
3,"공정거래법상 부당한 공동행위는 법인만 처벌되고, 개인은 처벌되지 않는다",X,부당한 공동행위를 한 자 또는 이를 하도록 한 자는 3년 이하의 징역 또는 2억원 이하의 벌금에 처하도록 하고 있다 (공정거래법 제124조 제1항 제9호 참고)
4,경쟁사간 정보 교환 행위를 할 경우 담합이 될 수 있다.,O, 정보교환 합의 담합(공정거래법 제40조 제1항 제9호) 또는 정보교환 합의주정(공정거래법 제40조 제5항 제2호)이 될 수 있다.
5,경쟁사 모임에서 가격담합을 하기로 결정되었지만 그 자리에서 찬성도 반대도 하지 않고 침묵하고 있었던 경우 침묵한 자는 담합에 참여한 것이 될 수 있다.,O,경쟁사 모임에서 가격담합을 하기로 결정되었지만 그 자리에서 찬성도 반대도 하지 않고 침묵하고 있었던 경우 침묵한 자는 담합에 참여한 것이 될 수 있다.
6,부당한 공동행위를 하였다 하더라도 자진 신고하면 처벌이 완화될 가능성이 있다.,O,"부당한 공동행위의 사실을 자진신고한 자에 대해서는 시정조치나 과징금을 감경 또는 면제할 수 있고, 고발을 면제할 수 있다(공정거래법 제44조 제1항 참고)"
7,"경쟁사업자간 가격 정보를 교환하기로 합의하는 경우, 가격을 공동으로 결정하자는 합의가 없었다면 담합이 될 수 없다.",X,"가격, 생산량 등 정보를 주고받기로 하는 합의가 있고, 그 결과 일정한 거래분야에서 경쟁이 실질적으로 제한되는 경우는 담합이 될 수 있다(공정거래법 제40조 제1항 제9호 참고)"
8,도매업자들이 경쟁사업자의 기존 거래처를 침범하지 않기로 약정을 체결하는 행위는 담합이 될 수 있다.,O,도매업자들이 경쟁사업자의 기존 거래처를 침범하지 않기로 약정을 체결하는 행위는 담합이 될 수 있다.
9,"입찰에서 단독입찰에 따른 유찰 및 저가 수주를 방지하기 위해 경쟁사들 낙찰예정자, 투찰가격 등을 사전에 합의하고 입찰에 참여한 것은 부당한 공동행위이다.",O,"입찰 또는 경매에 있어 사업자간에 낙찰자,투찰가격, 낙찰가격 또는 경락가격 등을 협의하는 경우는 부당한 공동행위이다."
10,담합으로 적발 시 과징금은 관련 매출액의 30% 내에서 부과된다.,X, 공정거래위원회는 부당한 공동행위가 있을 때에는 그 사업자에게 관련 매출액에 100분의 20을 곱한 금액을 초과하지 아니하는 범위에서 과징금을 부과할 수 있다(공정거래법 제43조 참고).
11,부당한 공동행위가 성립하려면 반드시 3개 이상의 사업자가 주체가 되어야 한다.,X, 2개 이상의 사업자가 참여할 경우 부당한 공동행위 성립이 가능하다.
12," 부당한 공동행위에서 합의는 명시적이든 묵시적이든 불문하며, 합의만으로도 위법할 수 있다.",O," 부당한 공동행위에서 합의는 명시적이든 묵시적이든 불문하며, 별도 실행행위가 없다고 하더라도 합의만으로도 위법할 수 있다."
13,가격이 아닌 상품 및 용역의 거래조건을 공동으로 합의하는 것은 담합이 될 수 없다.,X,"공정거래법 제40조 제1항 제2호의 담합유형이 '상품 또는 용역의 거래조건이나, 그 대금 또는 대가의 지급조건을 정하는 행위이다."
14,"입찰 또는 경매에 있어 사업자간 낙찰자, 경락자, 투찰가격, 낙찰가격 또는 경락가격 등을 합의하는 경우 입찰담합에 해당할 수 있다.",O,"공정거래법 제40조 제1항 제8호의 담합유형이 입찰 또는 경매를 할 때 낙찰자, 경락자, 입찰가격, 낙찰가격 또는 경락가격, 그 밖에 대통령령으로 정하는 사항을 결정하는 행위이다."
15,사업자별로 특정 지역에서는 거래하지 않도록 하거나 특정 지역에서만 거래하도록 하는 행위 등과 같이 거래지역을 제한하는 것은 부당한 공동행위에 해당될 수 있다.,O,공정거래법 제40조 제1항 제4호의 담합유형이 '거래지역 또는 거래상대방을 제한하는 행위이다.
16, 정보교환 담합 관련하여 사업자가 불특정 다수에게 경쟁상 민감한 정보를 공개적으로 공표 또는 공개하는 행위도 정보교환에 해당하는 위법행위이다.,X,사업자가 불특정 다수에게 정보들을 공개적으로 공표 또는 공개하는 행위는 정보교환 행위로 보지 아니한다.
17,입찰에 참가하는 사업자들이 다른 사업자의 산출내역서를 복사 또는 대신 작성하여 주는 등의 방법에 의해 입찰하는 행위는 담합이 될 수 있다.,O,입찰에 참가하는 사업자들이 다른 사업자의 산출내역서를 복사 또는 대신 작성하여 주는 등의 방법에 의해 입찰하는 행위는 담합이 될 수 있다.
18,업자가 공동으로 발주처의 예정가격을 인상시킬 목적으로 예정금액보다 높은 수주금액 또는 수준을 정한 후 고의적으로 유찰시키는 행위는 담합이 될 수 있다.,O,사업자가 공동으로 발주처의 예정가격을 인상시킬 목적으로 예정금액보다 높은 수주금액 또는 수준을 정한 후 고의적으로 유찰시키는 행위는 담합이 될 수 있다.
